,tokens
0,"['Dear', 'Countrymen', 'today', 'holy', 'festival', 'Vijay', 'Dashami', 'heartiest', 'greeting', 'occasion', 'Vijay', 'Dashami', 'medium', 'radio', 'heartfelt', 'thought', 'today', 'today', 'series', 'conversation', 'future', 'good', 'possible', 'time', 'month', 'future', 'Sundays', 'time', 'morning', 'way', 'convenient', 'fact', 'successful', 'thought', 'festival', 'Vijay', 'Dashami', 'today', 'triumph', 'good', 'Evil', 'gentleman', 'Ganesh', 'Venkatadari', 'native', 'Mumbai', 'mail', 'vow', 'bad', 'habit', 'occasion', 'Vijay', 'Dashami', 'gratitude', 'recommendation', 'individual', 'end', 'bad', 'habit', 'respect', 'nation', 'vow', 'dirt', 'country', 'occasion', 'Vijay', 'Dashami', 'vow', 'dirt', 'filth', 'occasion', 'yesterday', '2nd', 'October', 'eve', 'Mahatma', 'Gandhi', 'birth', 'anniversary', 'crore', 'countryman', 'Swachh', 'Bharat', 'movement', 'thought', 'yesterday', 'people', 'video', 'nation', 'social', 'medium', 'website', 'people', 'nation', 'people', 'nation', 'people', 'entire', 'nation', 'atmosphere', 'hand', 'movement', 'Mahatma', 'Gandhi', 'Khaadi', 'variety', 'clothe', 'different', 'fabric', 'company', 'brand', 'family', 'possible', 'Khaadi', 'Khaadi', 'product', 'least', 'Khaadi', 'product', 'handkerchief', 'bath', 'towel', 'bed', 'sheet', 'pillow', 'cover', 'curtain', 'kind', 'inclination', 'kind', 'fabric', 'clothe', 'family', 'Khaadi', 'product', 'regular', 'basis', 'Khaadi', 'product', 'poor', 'people', 'lamp', 'Diwali', 'special', 'discount', 'khaadi', 'product', '2nd', 'October', 'month', 'small', 'thing', 'big', 'impact', 'poor', 'success', 'crore', 'countryman', 'outcome', 'government', 'care', 'individual', 'potential', 'strength', 'incomparable', 'soul', 'world', 'scientist', 'successful', 'Mars', 'least', 'expense', 'strength', 'strong', 'point', 'hopeless', 'dear', 'Brothers', 'Sisters', 'saying', 'Swami', 'Vivekananda', 'ji', 'thought', 'thought', 'many', 'Vivekananda', 'ii', 'lioness', 'cub', 'way', 'flock', 'sheep', 'distance', 'desire', 'flock', 'cub', 'cub', 'lioness', 'post', 'flock', 'cub', 'lioness', 'cub', 'mother', 'sheep', 'sheep', 'language', 'way', 'life', 'cub', 'lioness', 'grown', 'brother', 'shocked', 'mind', 'lion', 'sheep', 'sheep', 'wrong', 'ego', 'stake', 'brother', 'brother', 'lion', 'reply', 'brother', 'sheep', 'voice', 'way', 'brother', 'well', 'water', 'reflection', 'similar', 'face', 'lion', 'lion', 'brother', 'self', 'esteem', 'self', 'realization', 'lion', 'sheep', 'lion', 'inner', 'entity', 'Swami', 'Vivekananda', 'ji', 'countryman', 'crore', 'Indians', 'indefinite', 'strength', 'capability', 'inner', 'strength', 'Swami', 'ji', 'self', 'respect', 'life', 'successful', 'turn', 'nation', 'successful', 'country', 'countryman', 'population', 'crore', 'efficient', 'strong', 'odd', 'confidence', 'day', 'many', 'letter', 'social', 'medium', 'website', 'Facebook', 'friend', 'Mr.', 'Gautam', 'Pal', 'issue', 'child', 'separate', 'Municipality', 'Municipal', 'Corporation', 'council', 'moral', 'support', 'suggestion', 'day', 'Chief', 'Minister', 'Gujarat', 'Special', 'Olympics', 'Athens', 'Olympics', 'participant', 'winner', 'category', 'Gujarat', 'home', 'hour', 'emotional', 'inspiring', 'incident', 'life', 'child', 'responsibility', 'parent', 'family', 'responsibility', 'entire', 'society', 'God', 'family', 'child', 'child', 'responsibility', 'entire', 'nation', 'incident', 'separate', 'Olympics', 'Gujarat', 'thousand', 'child', 'parent', 'Olympics', 'atmosphere', 'trust', 'reason', 'suggestion', 'Mr.', 'Gautam', 'Pal', 'thought', 'story', 'traveller', 'corner', 'road', 'way', 'specific', 'place', 'route', 'many', 'people', 'man', 'traveller', 'passer', 'way', 'destination', 'traveller', 'brother', 'route', 'route', 'man', 'destination', 'people', 'knowledge', 'destination', 'address”', 'countryman', 'time', 'guidance', 'journey', 'people', 'hand', 'initiative', 'crore', 'Indians', 'capable', 'past', 'day', 'interesting', 'suggestion', 'people', 'aware', 'suggestion', 'suggestion', 'nation', 'nation', 'Government', 'citizen', 'Nation', 'exception', 'registration', 'process', 'Small', 'Scale', 'Industries', 'Government', 'notice', 'skill', 'development', 'course', 'school', 'curriculum', '5th', 'standard', 'student', 'various', 'skill', 'craft', 'effective', 'suggestion', 'adult', 'skill', 'development', 'course', 'study', 'suggestion', 'dustbin', 'meter', 'system', 'use', 'plastic', 'bag', 'numerous', 'suggestion', 'people', 'true', 'incident', 'positive', 'inspiring', 'countryman', 'evidence', 'heartfelt', 'thought', 'suggestion', 'countryman', 'Mann', 'ki', 'intention', 'Mother', 'India', 'nation', 'new', 'height', 'step', 'step', 'nation', 'crore', 'step', 'purpose', 'auspicious', 'occasion', 'Vijay', 'Dashami', 'inner', 'evil', 'good', 'nation', 'today', 'fortunate', 'beginning', 'heartfelt', 'thought', 'today', 'thought', 'heart', 'Sundays', 'journey', 'love', 'suggestion', 'thought', 'thought', 'advice', 'suggestion', 'glad', 'simple', 'medium', 'Radio', 'corner', 'nation', 'poor', 'home', 'nation', 'strength', 'hut', 'Poor', 'village', 'nation', 'strength', 'Mothers', 'Sisters', 'Youths', 'nation', 'strength', 'farmer', 'nation', 'trust', 'nation', 'strength', 'nation', 'future', 'time', 'original', 'speech', 'Hindi', 'english', 'rendering', 'original', 'speech', 'authoritative', 'version']"
1,"['dear', 'fellow', 'countryman', 'month', 'month', 'long', 'time', 'lot', 'thing', 'world', 'festival', 'Diwali', 'great', 'fervour', 'joy', 'festival', 'happiness', 'daily', 'life', 'time', 'time', 'poor', 'rich', 'people', 'village', 'urban', 'area', 'festival', 'different', 'significance', 'life', 'first', 'meeting', 'Diwali', 'warm', 'wish', 'last', 'time', 'general', 'conversation', 'new', 'realization', 'conversation', 'people', 'indifferent', 'country', 'last', 'conversation', 'Mann', 'Ki', 'Baat', 'one', 'mindset', 'country', 'people', 'indifferent', 'nation', 'government', 'personal', 'experience', 'government', 'mindset', 'tremendous', 'sense', 'commitment', 'indian', 'youth', 'eager', 'bit', 'opportunity', 'bit', 'effort', 'end', 'last', 'time', 'khadi', 'outfit', 'Khadidhari', 'feedback', 'Khadi', 'store', 'week', 'time', 'sale', '%', 'way', 'last', 'year', 'sale', 'year', 'double', 'week', '2nd', 'Oct.', 'people', 'country', 'many', 'time', 'fellow', 'Indians', 'cleanliness', '……', 'cleanliness', 'huge', 'public', 'movement', 'expectation', 'high', 'good', 'result', 'cleanliness', 'part', 'huge', 'garbage', 'pile', 'city', 'people', 'government', 'big', 'challenge', 'responsibility', 'state', 'government', 'municipality', 'concrete', 'action', 'public', 'pressure', 'Media', 'positive', 'role', 'second', 'aspect', 'immense', 'pleasure', 'happiness', 'sense', 'satisfaction', 'general', 'public', 'past', 'surrounding', 'dirt', 'gentleman', 'Mr', 'Bharat', 'Gupta', 'mail', 'Satna', 'Madhya', 'Pradesh', 'personal', 'experience', 'tour', 'railway', 'people', 'train', 'past', 'many', 'year', 'time', 'one', 'dustbin', 'trash', 'arrangement', 'litter', 'corner', 'gratifying', 'experience', 'Bharat', 'ji', 'experience', 'campaign', 'great', 'influence', 'kid', 'many', 'family', 'kid', 'chocolate', 'wrapper', 'message', 'social', 'medium', 'picture', 'Title', 'hero', 'day', 'picture', 'little', 'kid', 'trash', 'school', 'motivated', 'people', 'country', 'dirty', 'dirt', 'pile', 'litter', 'ashamed', 'good', 'omen', 'thing', 'many', 'people', 'section', 'society', 'government', 'officer', 'film', 'world', 'sport', 'world', 'industrialist', 'scientist', 'minute', 'discussion', 'minute', 'discussion', 'social', 'issue', 'cleanliness', 'education', 'social', 'reform', 'people', 'ruining', 'family', 'life', 'businessman', 'thing', 'personal', 'interest', 'major', 'change', 'interest', 'social', 'responsibility', 'small', 'incident', 'large', 'picture', 'right', 'direction', 'true', 'unhealthy', 'environment', 'disease', 'sickness', 'sickness', 'poor', 'household', 'cleanliness', 'major', 'effort', 'direction', 'poor', 'poor', 'family', 'disease', 'lot', 'financial', 'problem', 'person', 'healthy', 'family', 'family', 'cleanliness', 'drive', 'health', 'welfare', 'poor', 'brother', 'able', 'poor', 'environ', 'clean', 'poor', 'big', 'way', 'perspective', 'beneficial', 'different', 'kind', 'letter', 'last', 'time', 'child', 'God', 'kind', 'deficiency', 'feeling', 'people', 'people', 'field', 'success', 'story', 'thing', 'people', 'government', 'people', 'HRD', 'ministry', 'talk', 'need', 'officer', 'action', 'plan', 'example', 'change', 'governance', 'technical', 'education', 'good', 'Special', 'Scholarships', 'plan', 'official', 'line', 'important', 'decision', 'Kendriya', 'Vidyalaya', 'Central', 'Universities', 'special', 'infrastructure', 'example', 'stair', 'provision', 'ramp', 'facilitate', 'movement', 'wheel', 'chair', 'different', 'kind', 'toilet', 'HRD', 'ministry', 'additional', 'Lakh', 'rupee', 'Kendriya', 'Vidyalays', 'central', 'university', 'fund', 'institution', 'infrastructure', 'auspicious', 'beginning', 'thing', 'chance', 'Siachin', 'day', 'Diwali', 'Jawans', 'ready', 'life', 'nation', 'nation', 'Diwali', 'Siachin', 'able', 'Diwali', 'difficulty', 'time', 'Jawans', 'matter', 'great', 'pride', 'Jawans', 'field', 'security', 'calamity', 'life', 'life', 'medal', 'sporting', 'event', 'glad', 'Jawans', 'gold', 'medal', 'prestigious', 'event', 'Britain', 'Cambrian', 'Patrol', 'contestant', 'nation', 'Jawans', 'heartiest', 'congratulation', 'opportunity', 'young', 'dynamic', 'student', 'boy', 'girl', 'tea', 'medal', 'Sports', 'energy', 'zeal', 'enthusiasm', 'facility', 'country', 'less', 'nation', 'joy', 'excitement', 'tea', 'programme', 'player', 'inspiring', 'good', 'heart', 'people', 'country', 'word', 'intention', 'today', 'time', 'commitment', 'black', 'money', 'people', 'Prime', 'Servant', 'Article', 'Faith', 'commitment', 'money', 'poor', 'people', 'penny', 'way', 'different', 'obvious', 'democratic', 'country', 'basis', 'right', 'track', 'today', 'government', 'previous', 'government', 'much', 'money', 'estimate', 'way', 'figure', 'estimate', 'commitment', 'rupee', 'rupee', 'million', 'billion', 'money', 'poor', 'people', 'country', 'end', 'effort', 'blessing', 'commitment', 'letter', 'Sri', 'Abhishek', 'Pareekh', 'sentiment', 'many', 'mother', 'sister', 'Prime', 'Minister', 'doctor', 'friend', 'concern', 'view', 'issue', 'number', 'time', 'past', 'Mr.', 'Parikh', 'attention', 'increase', 'drug', 'addiction', 'young', 'generation', 'topic', 'Mann', 'ki', 'Baat', 'concern', 'topic', 'next', 'edition', 'Mann', 'Ki', 'Baat', 'topic', 'drug', 'drug', 'addiction', 'drug', 'mafia', 'threat', 'country', 'youth', 'experience', 'information', 'regard', 'child', 'drug', 'addiction', 'way', 'government', 'official', 'good', 'role', 'information', 'effort', 'public', 'environment', 'family', 'child', 'vice', 'sheer', 'frustration', 'detail', 'next', 'edition', 'topic', 'government', 'dock', 'thing', 'important', 'concern', 'carpet', 'day', 'call', 'instinct', 'grand', 'intention', 'tough', 'call', 'important', 'courage', 'love', 'thing', 'love', 'people', 'suggestion', 'Facebook', 'twitter', 'email', 'large', 'section', 'social', 'class', 'access', 'facility', 'point', 'valid', 'facility', 'Mann', 'Ki', 'Baat', 'radio', 'village', 'addressMann', 'Ki', 'BaatAkashvaniSansad', 'MargNew', 'Delhi', 'suggestion', 'letter', 'active', 'citizen', 'big', 'asset', 'development', 'letter', 'active', 'opinion', 'concerned', 'national', 'issue', 'strength', 'nation', 'Mann', 'Ki', 'Baat', 'mann', 'ki', 'baat', 'letter', 'next', 'month', 'Sunday', 'close', 'weather', 'winter', 'good', 'month', 'health', 'good', 'season', 'good', 'nice', 'clothe', 'food', 'clothe', 'good', 'season', 'health', 'waste', 'original', 'speech', 'Hindi', 'english', 'rendering', 'original', 'speech', 'authoritative', 'version']"
2,"['Dear', 'Fellow', 'Countrymen', 'today', 'great', 'opportunity', 'Prime', 'Minister', 'way', 'less', 'Prime', 'Minister', 'Pradhan', 'Sewak', 'people', 'childhood', 'intensity', 'pain', 'less', 'intensity', 'joy', 'manifold', 'thought', 'Mann', 'ki', 'Baat', 'opportunity', 'concern', 'joy', 'deep', 'concern', 'light', 'hearted', 'joy', 'happiness', 'last', 'time', 'concern', 'youth', 'country', 'Prime', 'Minister', 'concerned', 'individual', 'son', 'daughter', 'many', 'family', 'trap', 'drug', 'person', 'entire', 'family', 'society', 'Nation', 'large', 'drug', 'grave', 'menace', 'powerful', 'individual', 'Chief', 'Minister', 'Gujarat', 'officer', 'good', 'record', 'leave', 'reason', 'child', 'drug', 'trap', 'time', 'kid', 'brave', 'officer', 'tear', 'mother', 'Punjab', 'chance', 'mother', 'angry', 'child', 'trap', 'drug', 'society', 'menace', 'youth', 'drug', 'trap', 'youth', 'careless', 'irresponsible', 'victim', 'bad', 'fact', 'drug', 'bad', 'youth', 'wrong', 'addiction', 'wrong', 'kid', 'habit', 'addiction', 'kid', 'kid', 'addiction', 'fact', 'psycho', 'socio', 'medical', 'issue', 'problem', 'menace', 'solution', 'medical', 'intervention', 'individual', 'family', 'friend', 'society', 'government', 'legal', 'system', 'tandem', 'menace', 'menace', 'day', 'DGP', 'level', 'conference', 'Assam', 'concern', 'issue', 'displeasure', 'non', '-', 'serious', 'attitude', 'people', 'police', 'department', 'issue', 'relevant', 'solution', 'department', 'toll', 'free', 'helpline', 'family', 'ashamed', 'open', 'addiction', 'problem', 'child', 'one', 'parent', 'part', 'corner', 'country', 'police', 'child', 'victim', 'addiction', 'department', 'suggestion', 'fulfillment', 'drug', 'menace', 'Three', 'D', 'Three', 'D', 'one', 'entertainment', 'Three', 'D', 'vice', 'First', 'D', 'Darkness', 'second', 'destruction', 'third', 'Devastation', 'drug', 'person', 'blind', 'path', 'destruction', 'trail', 'devastation', 'topic', 'great', 'concern', 'total', 'attention', 'topic', 'last', 'address', 'Mann', 'ki', 'Baat', 'letter', 'Akashvani', 'address', 'letter', 'government', 'office', 'response', 'government', 'portal', 'Mygov.in', 'e', '-', 'mail', 'lakh', 'comment', 'twitter', 'facebook', 'deep', 'rooted', 'concern', 'society', 'psyche', 'voice', 'thankful', 'medium', 'country', 'concern', 'many', 'channel', 'hour', 'long', 'program', 'program', 'government', 'forum', 'open', 'discussion', 'concern', 'effort', 'workable', 'solution', 'initiative', 'background', 'healthy', 'discussion', 'government', 'responsibility', 'direction', 'government', 'neutral', 'concern', 'question', 'youth', 'drug', 'trap', 'youth', 'hour', 'state', 'intoxication', 'free', 'concern', 'free', 'tension', 'different', 'world', 'thought', 'fact', 'drug', 'money', 'guess', 'drug', 'money', 'terrorist', 'money', 'terrorist', 'weapon', 'weapon', 'terrorist', 'bullet', 'heart', 'soldier', 'soldier', 'country', 'soldiers-', 'soldier', 'dear', 'mother', 'treasured', 'son', 'Mother', 'India', 'brave', 'son', 'soil', 'bullet', 'money', 'drug', 'motherland', 'tremendous', 'respect', 'soldier', 'habit', 'drug', 'mafia', 'terrorist', 'people', 'person', 'despair', 'failure', 'directionless', 'easy', 'prey', 'drug', 'people', 'ambition', 'goal', 'target', 'deep', 'vacuum', 'life', 'one', 'drug', 'easy', 'access', 'drug', 'child', 'menace', 'ambition', 'dream', 'individual', 'desire', 'life', 'aim', 'life', 'sportsman', 'life', 'sportsman', 'bleak', 'winter', 'warmth', 'quilt', 'sportsman', 'workout', 'goal', 'child', 'aimless', 'chance', 'prey', 'menace', 'drug', 'word', 'Vivekananda', 'word', 'apt', 'young', 'people', 'thought', 'thought', 'life', 'integral', 'part', 'dream', 'part', 'mind', 'brain', 'vein', 'part', 'body', 'else”', 'thought', 'Vivekananda', 'apt', 'young', 'person', 'person', 'ambition', 'life', 'ambition', 'focus', 'unnecessary', 'thing', 'peer', 'pressure', 'cool', 'style', 'statement', 'youth', 'serious', 'trap', 'wrong', 'mental', 'perception', 'addiction', 'cool', 'style', 'statement', 'reality', 'precursor', 'destruction', 'friend', 'drug', 'habit', 'conversation', 'mute', 'spectator', 'absurdity', 'courage', 'conversation', 'gut', 'conversation', 'conversation', 'gut', 'person', 'wrong', 'view', 'parent', 'day', 'none', 'time', 'time', 'livelihood', 'time', 'quality', 'life', 'blind', 'race', 'time', 'kid', 'kid', 'spiritual', 'progress', 'material', 'progress', 'study', 'progress', 'exam', 'topic', 'core', 'entire', 'interaction', 'relationship', 'child', 'heart', 'child', 'frank', 'relationship', 'life', 'child', 'bad', 'habit', 'home', 'change', 'home', 'successful', 'problem', 'beginning', 'aware', 'child', 'friend', 'circle', 'conversation', 'progress', 'concern', 'inner', 'depth', 'thought', 'logic', 'book', 'friend', 'mobile', 'time', 'care', 'one', 'parent', 'kid', 'ancestor', 'certain', 'pearl', 'wisdom', 'statesman', 'saying', 'Paanch', 'Varsh', 'Laaw', 'LijiyeDass', 'Laaw', 'Tadan', 'deiPaanch', 'Varsh', 'Laaw', 'LijiyeDass', 'Laaw', 'Tadan', 'deisut', 'Hi', 'Solah', 'Varsh', 'MeinMitra', 'Sarij', 'Gani', 'DeiThis', 'year', 'age', 'child', 'tender', 'care', 'parent', 'time', 'value', 'discipline', 'intelligent', 'mother', 'angry', 'child', 'day', 'big', 'punishment', 'child', 'mother', 'child', 'turn', 'mother', 'year', 'old', 'worried', 'whole', 'day', 'habit', 'time', 'year', 'relationship', 'friend', 'open', 'conversation', 'brilliant', 'advice', 'ancestor', 'family', 'life', 'thing', 'notice', 'role', 'pharmacist', 'medicine', 'addiction', 'medicine', 'doctor', 'prescription', 'simple', 'thing', 'cough', 'syrup', 'addiction', 'starting', 'point', 'addiction', 'thing', 'platform', 'discipline', 'day', 'many', 'child', 'village', 'city', 'high', 'education', 'hostel', 'boarding', 'school', 'avenue', 'entry', 'point', 'addiction', 'education', 'system', 'society', 'security', 'force', 'vigilante', 'one', 'role', 'responsibility', 'government', 'responsibility', 'end', 'obligation', 'letter', 'interesting', 'grief', 'certain', 'Mr.', 'Dutt', 'deep', 'addiction', 'several', 'restriction', 'life', 'jail', 'life', 'story', 'famous', 'Yerawada', 'Jail', 'many', 'inspiring', 'story', 'many', 'people', 'victorious', 'fight', 'addiction', 'habit', 'effort', 'de', '-', 'addiction', 'rehabilitation', 'celebrity', 'part', 'initiative', 'field', 'cinema', 'sport', 'public', 'life', 'cultural', 'spiritual', 'world', 'possible', 'platform', 'awareness', 'constant', 'message', 'public', 'interest', 'effect', 'active', 'social', 'medium', 'continuous', 'online', 'movement', 'drugsfreeindia', 'hash', 'tag', 'relevant', 'addicted', 'youth', 'part', 'social', 'medium', '#', 'drugsfreeindia', 'hash', 'tag', 'movement', 'great', 'service', 'public', 'awareness', 'education', 'concern', 'addiction', 'story', 'topic', 'beginning', 'grief', 'sharing', 'topic', 'national', 'concern', 'grief', 'family', 'menace', 'pain', 'responsible', 'environment', 'difference', 'opinion', 'beginning', 'happiness', 'last', 'week', 'opportunity', 'Blind', 'Cricket', 'Team', 'world', 'cup', 'joy', 'excitement', 'great', 'self', 'confidence', 'God', 'eye', 'hand', 'leg', 'capable', 'kind', 'determination', 'passion', 'blind', 'cricketer', 'zeal', 'enthusiasm', 'contagious', 'incident', 'great', 'pleasure', 'life', 'past', 'day', 'important', 'news', 'cricket', 'team', 'Kashmir', 'Mumbai', 'home', 'ground', 'matter', 'victory', 'loss', 'stadium', 'Kashmir', 'flood', 'Kashmir', 'tough', 'phase', 'circumstance', 'grim', 'boy', 'chance', 'Team', 'Spirit', 'boy', 'conviction', 'determination', 'awe', 'inspiring', 'boy', 'circumstance', 'goal', 'news', 'immense', 'pleasure', 'opportunity', 'player', 'victory', 'day', 'United', 'Nations', 'June', '21st', 'International', 'Yoga', 'Day', 'matter', 'great', 'pride', 'honour', 'India', 'ancestor', 'beautiful', 'tradition', 'today', 'entire', 'world', 'potential', 'people', 'entire', 'world', 'issue', 'yoga', 'UN', 'unanimous', 'resolution', 'day', 'country', 'co', '-', 'sponsor', 'past', 'birthday', 'Mr.', 'Nelson', 'Mandela', 'country', 'co', '-', 'sponsor', 'effort', 'International', 'Toilet', 'Day', 'nation', 'co', '-', 'sponsor', 'initiative', 'oct', '2nd', 'Non', 'Violence', 'Day', 'Countries', 'co', '-', 'sponsor', 'country', 'yoga', 'world', 'record', 'sort', 'thankful', 'country', 'support', 'sentiment', 'Indians', 'World', 'Yoga', 'Day', 'duty', 'yoga', 'masse', 'true', 'essence', 'last', 'week', 'chance', 'meeting', 'Chief', 'Ministers', 'state', 'tradition', 'past', 'year', 'time', 'Prime', 'Minister', 'residence', 'retreat', 'program', 'paper', 'file', 'officer', 'simple', 'interaction', 'Prime', 'Minister', 'Chief', 'Minister', 'friend', 'hour', 'matter', 'national', 'concern', 'friendly', 'atmosphere', 'heart', 'political', 'agenda', 'memorable', 'experience', 'last', 'week', 'chance', 'North', 'East', 'day', 'many', 'time', 'youth', 'desire', 'Taj', 'Singapore', 'Dubai', 'nature', 'lover', 'divinity', 'nature', 'tour', 'North', 'East', 'time', 'Prime', 'Minister', 'potential', 'North', 'east', 'tremendous', 'potential', 'possibility', 'land', 'beautiful', 'people', 'beautiful', 'surrounding', 'immense', 'joy', 'place', 'people', 'Modi', 'ji', 'tired', 'little', 'fatigue', 'North', 'East', 'pleasure', 'visit', 'love', 'respect', 'people', 'kinship', 'affinity', 'people', 'North', 'East', 'joy', 'Modi', 'North', 'East', 'next', 'edition', 'Mann', 'Ki', 'Baat', 'last', 'program', 'Merry', 'Christmas', 'good', 'New', 'Year', 'advance', 'immense', 'pleasure', 'program', 'Mann', 'Ki', 'Baat', 'regional', 'language', 'Local', 'Radio', 'station', 'night', 'pm', 'surprising', 'regional', 'voice', 'artist', 'voice', 'similar', 'surprised', 'brilliant', 'work', 'artist', 'Akashvani', 'effective', 'medium', 'masse', 'tremendous', 'response', 'response', 'Akashvani', 'new', 'method', 'new', 'Post', 'Box', 'number', 'Post', 'Box', 'number', 'Mann', 'Ki', 'BaatPost', 'Box', 'AkashvaniNew', 'Delhi', 'letter', 'letter', 'inspiration', 'suggestion', 'good', 'entire', 'nation', 'thankful', 'Sunday', 'morning', 'Mann', 'Ki', 'Baat']"
