,Datetime,Tweet Id,Text,Username
33,2014-10-03 12:41:41+00:00,518018048070934528,"@rishibagree pls support ""RSS thunderclap "" wid FB n Twitter: https://t.co/B5lh45UbdS  tribute 2 Sangh on  #RSSVijayadashmi #MannKiBaat",Fans_Bharat
34,2014-10-03 12:21:40+00:00,518013009835212801,"2018 FIFA world cup mein Indian team khele, desh ke #MannKiBaat",_Ayush_07
35,2014-10-03 12:20:38+00:00,518012748383666176,"RaGa smart hojaye, Congress ke #MannKiBaat",_Ayush_07
36,2014-10-03 12:00:35+00:00,518007702979887104,"Finally after so many years, AIR came into use and that too for the right purpose #MannKiBaat",_Ayush_07
37,2014-10-03 11:45:08+00:00,518003816524816384,"Let's spare Ravan and burn the CDs of Ra-One this time. Afterall, it is all about killing the evil anyway.
Happy Dusshera #MannKiBaat",sforsid
38,2014-10-03 11:37:54+00:00,518001997266825216,"Radio is back with Modi in Ramayana/Mahabharata slot, writes Kaveree Bamzai | @kavereeb | #MannKiBaat #Modi | Read http://t.co/ppjw0EeU7S…",Shreekrishna108
39,2014-10-03 10:59:58+00:00,517992450279751681,"@narendramodi on #MannKiBaat, #RadioBharat par, right choice to reach the interiors, #BharatKaSher jaag gaya hai aur apne lakshya par hai.",coomarashish
40,2014-10-03 10:25:35+00:00,517983795471851520,"Try 2 destroy all d evils
Start from d surroundings 1st

#yesudas #AAPtards #HappyDussehra #MannKiBaat #vijayadashami http://t.co/tRq2IuhDjh",_nitinyadav_
41,2014-10-03 10:24:19+00:00,517983477363650561,"Radio is back with Modi in Ramayana/Mahabharata slot, writes Kaveree Bamzai | @kavereeb | #MannKiBaat #Modi | Read http://t.co/fwLcJ3T0Rv.",DailyO_
42,2014-10-03 10:11:28+00:00,517980244355977216,kaash usse ye #mannkibaat batayi hoti toh aaj ye tweet toh bach jata.,Aghoribhabha
43,2014-10-03 10:04:35+00:00,517978514075553792,Stop cow slaughtering and slaughtering of other prohibited animals. Respect the law. #MannKiBaat @PMOIndia.,shivamdewan
44,2014-10-03 09:39:43+00:00,517972255867801601,"hi..hi..hi..hi..नैतिकता का पाठ पढा चुतिया काटो इनका ताकि असली मुद्दो मँहगाई,भ्रष्टाचार आदि पर ध्यान न जाये! #MannKiBaat",bnana_repblic
45,2014-10-03 09:27:34+00:00,517969195548434432,@airnewsalerts #HappyDussehra listening to our PM @narendramodi  today on radio. #MannKiBaat,somanathg
46,2014-10-03 09:01:36+00:00,517962662190125057,"""@dna: Do Read: 10 highlights from Prime Minister @narendramodi 's '#MannKiBaat ' http://t.co/XP6kOlJVh8 http://t.co/qvkCoXeugE""",MLMANDOWARA
47,2014-10-03 08:37:35+00:00,517956615689875456,"I thought @narendramodi will give a long speech on radio but it was really #mannkibaat Nice beginning. 
I'll buy a khadi cloth b4 diwali",amararkhel
48,2014-10-03 08:26:58+00:00,517953945499467776,"So From Nw Very Difficult To Choose One
1)#SatyamevJayate
2)#MannKiBaat
Both Wl Telecast At The Same Time
EVERY SUNDAY 11 AM
OHH SHITT :O :)",Only4SK
49,2014-10-03 08:19:29+00:00,517952061078765569,"PM Modi's 'Mann Ki Baat' Points You Must Know 

http://t.co/TvQEBAt3v8 #ManKiBaat #Modi #India4India #mediaconvey #news #MannKiBaat",mediaconvey
50,2014-10-03 08:19:24+00:00,517952039700414464,https://t.co/R5lNa8o097 #MannKiBaat @narendramodi_in talks his mind.,deebuls
51,2014-10-03 08:17:58+00:00,517951679145054208,"I thought PM will give a long speech on radio but it was really a #mannkibaat Excellent beginning. 
I'll buy a khadi cloth b4 diwali",amararkhel
52,2014-10-03 08:16:01+00:00,517951192366710784,"Yaar Fan Ho Gaya Aapka @narendramodi
1)#ModiInAmerica
2)#MyCleanIndia
3)#MannKiBaat
N Now
#CleanIndiaWithBeingHuman
@BeingSalmanKhan WAITING",Only4SK
53,2014-10-03 08:08:20+00:00,517949256359870465,"Mr. PM do u understand  our #mannkibaat ?
we don't want to wait till dinner time(8pm) to listen ur speech in regional sorry national lang.",praveenbs
54,2014-10-03 07:50:26+00:00,517944750884663296,If u had accepted #IceBucketChallenge than u must accept #GarbageBucketChallenge . At the end it's about our India #MyCleanIndia #MannKiBaat,shalavkela
55,2014-10-03 07:44:08+00:00,517943166083682304,"@narendramodi Dearest Sir, I hope #MannKiBaat becomes a two way conversation like the RJ's on FM do. We shall have a PM we can speak to!",theSalesOpsGuy
56,2014-10-03 07:38:48+00:00,517941826431365120,#MannKiBaat  after Baba Ramdev we have now Baba Narendra Dev..... Ppl thot he is a Karmyogi but he turned out to be a BlahBlah Yogi.,BujMit
57,2014-10-03 07:34:50+00:00,517940824714539008,"रेडियो के जरिए मोदी जी ने रखी 'मन की बात', खादी के इस्‍तेमाल और गंदगी खत्‍म करने की अपील की|
#ModiOnRadio #MannKiBaat",UnitedHinduFrnt
58,2014-10-03 07:31:59+00:00,517940107433619457,Atleast 10 calls be allowed to talk to @pmoindia @narendramodi in #MannKiBaat so that ppl from remote area can join wid PM that too tollfree,Anandkrkeshri
59,2014-10-03 07:30:21+00:00,517939699340423169,"Guess who r most upset people on earth, our MSM vale. Just head them saying... Modi ji sabse baat karte hai, Hamse kab karenge #MannKiBaat",ankur0906
60,2014-10-03 07:30:07+00:00,517939638967603200,"Good initiative by @PMOIndia @narendramodi in #MannKiBaat. But it should be dialogue, not monologue ! Live phone calls tollfree be allowed !",Anandkrkeshri
61,2014-10-03 07:21:48+00:00,517937544294461440,"शायद जनाज़ा इसलिए भारी था उस गरीब का ...
अपने सारे अरमान साथ ही ले जा रहा था वो .... #MannKiBaat",jawahar_vats
62,2014-10-03 07:13:12+00:00,517935382600884224,Do Read: 10 highlights from Prime Minister @narendramodi 's '#MannKiBaat ' http://t.co/HmeYLOqAH3 http://t.co/qmw9Z4DtSq,dna
