,Text,Date,Year,hashtag,Cleaned
28,"Modi Effect --&gt;&gt;
#CleanIndiaWithBeingHuman #swachhindia #MannKiBaat http://t.co/OdmeDeLfi5",2014-10-03,2014,"['CleanIndiaWithBeingHuman', 'swachhindia', 'MannKiBaat']",modi effect gtgt
29,"#MannKiBaat .. @PMOIndia @narendramodi  on @airnewsalerts #Awesome 
ppl will again stick to radio sets on Sundays @ 11 now..",2014-10-03,2014,"['MannKiBaat', 'Awesome']",will again stick radio sets sundays
30,With Bhagwat's address we know who is Modi's boss &amp; rules nation. Waiting for DD address of remaining rulers - Ambani &amp; Adani #MannKiBaat,2014-10-03,2014,['MannKiBaat'],with bhagwats address know modis boss rules nation waiting address remaining rulers ambani adani
32,"mosque, is a place for prayer. lets not make them a place for illegal trading of inncnt animals. #CullingInMosque #MannKiBaat",2014-10-03,2014,"['CullingInMosque', 'MannKiBaat']",mosque place prayer lets make them place illegal trading inncnt animals
33,"@rishibagree pls support ""RSS thunderclap "" wid FB n Twitter: https://t.co/B5lh45UbdS  tribute 2 Sangh on  #RSSVijayadashmi #MannKiBaat",2014-10-03,2014,"['RSSVijayadashmi', 'MannKiBaat']",support thunderclap twitter tribute sangh
34,"2018 FIFA world cup mein Indian team khele, desh ke #MannKiBaat",2014-10-03,2014,['MannKiBaat'],fifa world mein indian team khele desh
35,"RaGa smart hojaye, Congress ke #MannKiBaat",2014-10-03,2014,['MannKiBaat'],raga smart hojaye congress
36,"Finally after so many years, AIR came into use and that too for the right purpose #MannKiBaat",2014-10-03,2014,['MannKiBaat'],finally after many years came into that right purpose
37,"Let's spare Ravan and burn the CDs of Ra-One this time. Afterall, it is all about killing the evil anyway.
Happy Dusshera #MannKiBaat",2014-10-03,2014,['MannKiBaat'],lets spare ravan burn raone this time afterall about killing evil anywayhappy dusshera
38,"Radio is back with Modi in Ramayana/Mahabharata slot, writes Kaveree Bamzai | @kavereeb | #MannKiBaat #Modi | Read http://t.co/ppjw0EeU7S…",2014-10-03,2014,"['MannKiBaat', 'Modi']",radio back with modi ramayanamahabharata slot writes kaveree bamzai read
39,"@narendramodi on #MannKiBaat, #RadioBharat par, right choice to reach the interiors, #BharatKaSher jaag gaya hai aur apne lakshya par hai.",2014-10-03,2014,"['MannKiBaat', 'RadioBharat', 'BharatKaSher']",right choice reach interiors jaag gaya apne lakshya
40,"Try 2 destroy all d evils
Start from d surroundings 1st

#yesudas #AAPtards #HappyDussehra #MannKiBaat #vijayadashami http://t.co/tRq2IuhDjh",2014-10-03,2014,"['yesudas', 'AAPtards', 'HappyDussehra', 'MannKiBaat', 'vijayadashami']",destroy evilsstart from surroundings
41,"Radio is back with Modi in Ramayana/Mahabharata slot, writes Kaveree Bamzai | @kavereeb | #MannKiBaat #Modi | Read http://t.co/fwLcJ3T0Rv.",2014-10-03,2014,"['MannKiBaat', 'Modi']",radio back with modi ramayanamahabharata slot writes kaveree bamzai read
42,kaash usse ye #mannkibaat batayi hoti toh aaj ye tweet toh bach jata.,2014-10-03,2014,['mannkibaat'],kaash usse batayi hoti tweet bach jata
43,Stop cow slaughtering and slaughtering of other prohibited animals. Respect the law. #MannKiBaat @PMOIndia.,2014-10-03,2014,['MannKiBaat'],stop slaughtering slaughtering other prohibited animals respect
44,"hi..hi..hi..hi..नैतिकता का पाठ पढा चुतिया काटो इनका ताकि असली मुद्दो मँहगाई,भ्रष्टाचार आदि पर ध्यान न जाये! #MannKiBaat",2014-10-03,2014,['MannKiBaat'],hihihihi
45,@airnewsalerts #HappyDussehra listening to our PM @narendramodi  today on radio. #MannKiBaat,2014-10-03,2014,"['HappyDussehra', 'MannKiBaat']",listening today radio
46,"""@dna: Do Read: 10 highlights from Prime Minister @narendramodi 's '#MannKiBaat ' http://t.co/XP6kOlJVh8 http://t.co/qvkCoXeugE""",2014-10-03,2014,['MannKiBaat'],read highlights from prime minister
47,"I thought @narendramodi will give a long speech on radio but it was really #mannkibaat Nice beginning. 
I'll buy a khadi cloth b4 diwali",2014-10-03,2014,['mannkibaat'],thought will give long speech radio really nice beginning khadi cloth diwali
